movieId,title,ratings
19315,Pupa,4.505393382974646
1639,Boku no Pico,5.239070129886684
13807,Corpse Party: Missing Footage,5.529755327680343
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?,5.6758027014914205
10897,Boku wa Tomodachi ga Sukunai Episode 0,5.680178731593079
904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,5.724720579064265
15437,"Kore wa Zombie Desu ka? of the Dead: Hai, Minotake ni Attemasu",5.76299551993324
895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,5.793979225432776
15085,Amnesia,5.807821839876173
12967,Arcana Famiglia,5.8316553474577155
894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,5.832133850443425
2476,School Days,5.836443444301441
1239,Bishoujo Senshi Sailor Moon SuperS,5.8366100754111025
37744,Isekai Cheat Magician,5.840164336743
2131,Bokusatsu Tenshi Dokuro-chan 2,5.866860692965738
39701,Nanatsu no Taizai: Kamigami no Gekirin,5.869095335444554
1564,Pokemon Advanced Generation,5.898055312755278
9515,Highschool of the Dead: Drifters of the Dead,5.9294700521576384
15687,Chuunibyou demo Koi ga Shitai! Lite,5.9333382620210795
26443,Triage X,5.951654131718865
225,Dragon Ball GT,5.959279232024063
527,Pokemon,5.976694511260284
23079,Glasslip,6.0086488326425584
23333,DRAMAtical Murder,6.02169817719313
481,Yu☆Gi☆Oh! Duel Monsters,6.030947083732227
357,Bokusatsu Tenshi Dokuro-chan,6.0409508365173945
31845,Masou Gakuen HxH,6.05851398591475
13411,Guilty Crown: Lost Christmas - An Episode of Port Town,6.090848188341943
17513,Diabolik Lovers,6.092645294146365
6201,Princess Lover!,6.1064571325591155
1565,Pokemon Diamond & Pearl,6.1086552844691955
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,6.138361392527919
36027,Ousama Game The Animation,6.148101922505262
31710,Divine Gate,6.168826387608889
6033,Dragon Ball Kai,6.168984351129756
288,Bakuten Shoot Beyblade,6.172245935825848
15565,Maken-Ki! Two,6.177489746519261
10073,Seikon no Qwaser II,6.187461038956404
19489,Little Witch Academia: Mahoujikake no Parade,6.190211150476317
32,Neon Genesis Evangelion: The End of Evangelion,6.198789279152301
532,Bishoujo Senshi Sailor Moon S,6.199211046308552
31338,Hundred,6.216652631562676
687,Tokyo Mew Mew,6.220206637183843
36407,Kenja no Mago,6.2245396564761055
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,6.229729237633255
896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,6.234009046390617
10209,Kore wa Zombie Desu ka? OVA,6.239816757367227
31716,Rewrite,6.248222870826318
38572,Assassins Pride,6.253962284426732
1122,Pokemon Movie 07: Rekkuu no Houmonsha Deoxys,6.26415987354583
900,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,6.283703369479864
13367,"Kono Naka ni Hitori, Imouto ga Iru!",6.287661536856682
390,Suzuka,6.29891624889717
11701,Another: The Other - Inga,6.301291884787693
405,Blood: The Last Vampire,6.303599986079398
2847,Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,6.309793251561069
19685,Kanojo ga Flag wo Oraretara,6.312561444323376
899,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,6.313822625931863
11737,Ao no Exorcist Movie,6.314176022281432
29758,Taboo Tattoo,6.314762568684738
6987,Aki-Sora,6.315693914190884
13939,Accel World EX,6.32537240654754
23317,Kuroshitsuji: Book of Murder,6.325673099136983
9471,Baka to Test to Shoukanjuu: Matsuri,6.325721409347421
1033,Sennen Joyuu,6.329221248076584
1526,Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,6.331359768496377
903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,6.332764041093312
22547,Blade & Soul,6.337186841332192
2961,Digimon Adventure Movie,6.343573976040595
530,Bishoujo Senshi Sailor Moon,6.347606096288018
9366,Kaichou wa Maid-sama!: Omake dayo!,6.348259994206272
3785,Evangelion: 3.0 You Can (Not) Redo,6.348594980671847
11266,Ao no Exorcist: Kuro no Iede,6.355172969181491
1119,Pokemon Movie 04: Celebi Toki wo Koeta Deai,6.357904261010677
10418,Deadman Wonderland: Akai Knife Tsukai,6.360207088236131
834,Bleach: The Sealed Sword Frenzy,6.361028993200275
1723,Clannad Movie,6.372411866639709
35330,Poputepipikku,6.383499447025116
19285,Shingeki no Kyojin: Ano Hi Kara,6.384508144519376
5764,Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,6.387085537411017
762,Bleach: Memories in the Rain,6.391047007915133
31904,Big Order (TV),6.396888388533753
32603,Okusama ga Seitokaichou!+!,6.402526039260793
9479,Coppelion,6.403409377706768
257,Ikkitousen,6.404459232925127
6682,11eyes,6.407090122912657
25397,Absolute Duo,6.407502369196535
18001,Freezing Vibration,6.418200188209719
902,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,6.429142788937855
33475,Busou Shoujo Machiavellianism,6.431125498751834
32380,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,6.437468262532083
47,Akira,6.442735088244719
38297,"Maou-sama, Retry!",6.448273598427603
482,Yu☆Gi☆Oh!: Duel Monsters GX,6.448509606200522
9936,Maken-Ki!,6.452307033637306
31,Neon Genesis Evangelion: Death & Rebirth,6.4531681388382705
